X,Y,"fid","station_id","date_from","date_to","altitude","latitude","longitude","name","state"
877275.511094551,6641537.02783582,"1","216","2004/10/01","2020/11/04","298",51.1143,7.8807,"Attendorn-Neulisternohl","Nordrhein-Westfalen"
938623.682470724,6623912.08904388,"2","389","2009/11/01","2020/11/04","436",51.0148,8.4318,"Berleburg, Bad-Arfeld","Nordrhein-Westfalen"
931554.894805351,6618410.9477759,"3","390","2004/07/01","2020/11/04","610",50.9837,8.3683,"Berleburg, Bad-Stünzel","Nordrhein-Westfalen"
727639.851570233,6769319.35877994,"4","554","1995/09/01","2020/11/04","23",51.8293,6.5365,"Bocholt-Liedern (Wasserwerk)","Nordrhein-Westfalen"
801945.611674743,6573548.99552816,"5","603","1999/03/03","2020/11/04","147",50.7293,7.204,"Königswinter-Heiderhof","Nordrhein-Westfalen"
1027746.06679982,6722334.3554498,"6","613","2004/11/01","2020/11/04","206",51.5677,9.2324,"Borgentreich","Nordrhein-Westfalen"
766579.40944972,6777194.71959896,"7","617","2004/06/01","2020/11/04","47",51.873,6.8863,"Borken in Westfalen","Nordrhein-Westfalen"
1021222.74463933,6746942.46195685,"8","644","2005/01/01","2020/11/04","150",51.7049,9.1738,"Brakel","Nordrhein-Westfalen"
904548.786338903,6578175.52623085,"9","796","2004/11/01","2020/11/04","412",50.7556,8.1257,"Burbach-Würgendorf","Nordrhein-Westfalen"
796880.574843649,6793221.3493741,"10","871","2005/08/01","2020/11/04","87",51.9618,7.1585,"Coesfeld","Nordrhein-Westfalen"
730422.838840064,6517847.74706291,"11","902","2006/10/01","2020/11/04","573",50.4115,6.5615,"Dahlem-Schmidtheim","Nordrhein-Westfalen"
953540.494237023,6761073.74450382,"12","934","2004/10/01","2020/11/04","88",51.7835,8.5658,"Delbrück","Nordrhein-Westfalen"
755291.613083282,6723910.48627045,"13","989","2005/02/01","2020/11/04","46",51.5765,6.7849,"Dinslaken","Nordrhein-Westfalen"
762649.831424717,6641785.28746173,"14","1024","2006/08/01","2020/11/04","37",51.1157,6.851,"Dormagen-Zons","Nordrhein-Westfalen"
863037.748222091,6756576.39472043,"15","1046","2004/10/01","2020/11/04","72",51.7585,7.7528,"Drensteinfurt","Nordrhein-Westfalen"
753477.105383352,6673820.6612586,"16","1078","1995/09/01","2020/11/04","37",51.296,6.7686,"Düsseldorf","Nordrhein-Westfalen"
948731.492234753,6827292.95222212,"17","1241","2006/12/01","2020/11/04","128",52.15,8.5226,"Enger","Nordrhein-Westfalen"
897313.01943734,6771571.25565219,"18","1246","2015/08/01","2020/11/04","104",51.8418,8.0607,"Ennigerloh-Ostenfelde","Nordrhein-Westfalen"
907977.426655336,6666346.96373441,"19","1300","2004/06/01","2020/11/04","351",51.254,8.1565,"Eslohe","Nordrhein-Westfalen"
775640.816000292,6693088.03535416,"20","1303","1995/09/01","2020/11/04","150",51.4041,6.9677,"Essen-Bredeney","Nordrhein-Westfalen"
755915.002231724,6570489.52436426,"21","1327","2004/08/01","2020/11/04","147",50.7119,6.7905,"Weilerswist-Lommersum","Nordrhein-Westfalen"
695334.935342025,6709181.97994717,"22","1590","2003/07/01","2020/11/04","37",51.4942,6.2463,"Geldern-Walbeck","Nordrhein-Westfalen"
786494.466352636,6723856.74951394,"23","1595","2012/10/01","2020/11/04","91",51.5762,7.0652,"Gelsenkirchen-Buer","Nordrhein-Westfalen"
856814.988686747,6824463.27455472,"24","1766","1995/09/01","2020/11/04","48",52.1344,7.6969,"Münster/Osnabrück","Nordrhein-Westfalen"
913866.2277183,6795660.60916241,"25","2027","2006/06/01","2020/11/04","63",51.9753,8.2094,"Harsewinkel","Nordrhein-Westfalen"
679516.4357003,6628567.05944371,"26","2110","2003/01/05","2020/11/04","57",51.0411,6.1042,"Heinsberg-Schleiden","Nordrhein-Westfalen"
851026.375165497,6843564.6917428,"27","2254","2005/06/01","2020/11/04","46",52.2396,7.6449,"Hörstel-Riesenbeck","Nordrhein-Westfalen"
706110.662050814,6609203.46152143,"28","2473","2004/12/01","2020/11/04","76",50.9316,6.3431,"Jülich (Kläranlage)","Nordrhein-Westfalen"
945002.289293179,6653248.88731751,"29","2483","1995/10/12","2020/11/04","839",51.1803,8.4891,"Kahler Asten","Nordrhein-Westfalen"
726515.524713221,6533566.58423997,"30","2497","2004/08/01","2020/11/04","505",50.5014,6.5264,"Kall-Sistig","Nordrhein-Westfalen"
678536.82418132,6757061.98852884,"31","2629","2004/07/01","2020/11/04","46",51.7612,6.0954,"Kleve","Nordrhein-Westfalen"
796769.255352856,6597377.88777381,"32","2667","1995/09/01","2020/11/04","92",50.8646,7.1575,"Köln-Bonn","Nordrhein-Westfalen"
976817.399761896,6790114.61570246,"33","2810","2006/12/01","2020/11/04","150",51.9446,8.7749,"Lage, Kreis Lippe-Hörste","Nordrhein-Westfalen"
894429.844625795,6644906.90750143,"34","2947","2006/10/01","2020/11/04","286",51.1333,8.0348,"Lennestadt-Theten","Nordrhein-Westfalen"
776754.010908225,6619418.91961067,"35","2968","2008/12/01","2020/11/04","43",50.9894,6.9777,"Köln-Stammheim","Nordrhein-Westfalen"
876073.260593984,6822051.57538082,"36","2999","2004/07/01","2020/11/04","55",52.1211,7.8699,"Lienen-Kattenvenne","Nordrhein-Westfalen"
983930.715223587,6761415.64497155,"37","3028","1995/09/01","2020/11/04","157",51.7854,8.8388,"Lippspringe, Bad","Nordrhein-Westfalen"
934471.465464135,6734144.84785153,"38","3031","2004/07/01","2020/11/04","92",51.6336,8.3945,"Lippstadt-Bökenförde","Nordrhein-Westfalen"
962657.560532992,6862784.32988366,"39","3081","2007/12/01","2020/11/04","65",52.3452,8.6477,"Espelkamp-Isenstedt","Nordrhein-Westfalen"
850759.208387593,6664781.91138316,"40","3098","1995/09/01","2020/11/04","387",51.2452,7.6425,"Lüdenscheid","Nordrhein-Westfalen"
969871.063536396,6651118.21210334,"41","3215","2007/06/01","2020/11/04","375",51.1683,8.7125,"Medebach-Berge","Nordrhein-Westfalen"
708092.148986934,6644552.11804315,"42","3321","2005/07/01","2020/11/04","77",51.1313,6.3609,"Mönchengladbach-Hilderath","Nordrhein-Westfalen"
691115.92664096,6536857.50836236,"43","3339","2006/09/01","2020/11/04","541",50.5202,6.2084,"Monschau-Kalterherberg","Nordrhein-Westfalen"
874191.961199577,6673019.58105454,"44","3499","2006/07/01","2020/11/04","292",51.2915,7.853,"Neuenrade-Blintrop","Nordrhein-Westfalen"
820647.286128013,6593851.15998966,"45","3540","2004/11/01","2020/11/04","195",50.8446,7.372,"Neunkirchen-Seelscheid-Krawinkel","Nordrhein-Westfalen"
715116.408855989,6563882.12965252,"46","3591","2004/06/01","2020/11/04","350",50.6743,6.424,"Nideggen-Schmidt","Nordrhein-Westfalen"
818910.702071638,6747247.8404489,"47","3795","2004/12/01","2020/11/04","49",51.7066,7.3564,"Olfen","Nordrhein-Westfalen"
1003834.64017742,6869438.15561602,"48","3913","2004/07/01","2020/11/04","43",52.3817,9.0176,"Petershagen","Nordrhein-Westfalen"
956301.217608696,6881191.48351517,"49","4063","2003/07/01","2020/11/04","41",52.4461,8.5906,"Rahden-Kleinendorf","Nordrhein-Westfalen"
856692.537246875,6619631.1399802,"50","4127","2005/01/01","2020/11/04","347",50.9906,7.6958,"Reichshof-Eckenhagen","Nordrhein-Westfalen"
789333.113367865,6766167.75286555,"51","4150","2005/12/01","2020/11/04","59",51.8118,7.0907,"Reken","Nordrhein-Westfalen"
938890.849248628,6709611.11012355,"52","4313","2004/08/01","2020/11/04","370",51.4966,8.4342,"Rüthen","Nordrhein-Westfalen"
